id,label
1,1.0
2,1.0
3,1.0
4,1.0
5,0.0
6,2.6848193022487784e-23
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1.0
13,0.0
14,0.0
15,0.0
16,1.0
17,1.0
18,1.0
19,0.0
20,0.0
21,1.0
22,0.0
23,0.0
24,1.0
25,0.0
26,1.0
27,1.0
28,0.0
29,1.0
30,1.0
31,1.0
32,1.817039320659256e-18
33,1.0
34,0.017414754256606102
35,0.0
36,1.0
37,0.0
38,0.0
39,1.0
40,0.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,2.8064200269239947e-12
47,1.0
48,1.0
49,1.0
50,0.0
51,1.1683261025297043e-09
52,1.7940368257593915e-16
53,0.0
54,0.0
55,1.0
56,1.0
57,1.0
58,0.0
59,1.0
60,1.0
61,1.0
62,0.999996542930603
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,0.0
69,1.0
70,1.0
71,1.0
72,0.0
73,1.0
74,1.0
75,0.0
76,5.6985487245377484e-30
77,1.0
78,1.0
79,1.0
80,1.0
81,0.0
82,0.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.0
90,1.0
91,1.0
92,0.0
93,0.0
94,1.0
95,1.0
96,1.0
97,3.5361293932515405e-19
98,1.0
99,0.0
100,0.0
101,0.0
102,1.0
103,0.0
104,0.0
105,1.0
106,1.0
107,1.3103488451004874e-24
108,0.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,0.0
115,0.0
116,1.0
117,0.0
118,1.0
119,1.0
120,0.0
121,1.0
122,0.0
123,0.9982739686965942
124,1.0
125,0.0
126,1.0
127,1.0
128,0.0
129,7.942565650751017e-35
130,1.0
131,1.0
132,0.0
133,0.9998282194137573
134,0.0
135,0.0
136,1.0
137,0.03438844531774521
138,1.0
139,0.0
140,1.0
141,0.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,0.0
150,1.0
151,1.0
152,0.0
153,0.0
154,0.0
155,1.0
156,0.9999992847442627
157,0.0
158,1.0
159,1.0
160,1.0
161,0.0
162,1.0
163,1.0
164,1.0
165,0.0
166,1.0
167,0.0
168,0.0
169,1.0
170,1.0
171,0.0
172,1.0
173,0.0
174,0.0
175,1.0
176,1.0
177,1.0
178,1.1714244708489835e-26
179,0.0
180,0.0
181,1.0
182,1.0
183,1.0
184,0.0
185,0.0
